"Route_Name,Route_Link,Bus_Name,Bus_Type,Departure_Time,Duration,Starting_Time,Star_Rating,Price,Seat_Availability"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,CGR Travels,A/C Seater / Sleeper (2+1),2024-07-17 23:15:00,07h 30m,06:45,4.1,700.0,7"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,CMR Express,A/C Sleeper (2+1),2024-07-17 23:35:00,07h 02m,06:37,3.9,750.0,7"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,CMR Express,Non A/C Seater / Sleeper (2+1),2024-07-17 22:30:00,07h 37m,06:07,4.2,500.0,18"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,CMR Express,Non A/C Seater / Sleeper (2+1),2024-07-17 23:00:00,07h 30m,06:30,4.3,646.0,17"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,MMR TRAVELS,Non A/C Seater / Sleeper (2+1),2024-07-17 22:00:00,07h 53m,05:53,4.2,500.0,24"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,CMR Express,A/C Sleeper (2+1),2024-07-17 23:10:00,07h 12m,06:22,4.6,880.0,14"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Jagan Travels,Mercedes Benz Multi-Axle A/C Sleeper (2+1),2024-07-17 23:30:00,06h 50m,06:20,3.9,1100.0,7"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,VRCR Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),2024-07-17 23:36:00,06h 44m,06:20,3.9,1044.0,22"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Jathin travels,Non A/C Seater / Sleeper (2+1),2024-07-17 22:15:00,07h 45m,06:00,4.2,650.0,17"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Deepna Travels,A/C Seater / Sleeper (2+1),2024-07-17 21:30:00,08h 50m,06:20,3.3,500.0,16"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Muneer Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 21:35:00,09h 05m,06:40,3.6,649.0,29"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,SREE LEKYAA TRAVELS,A/C Sleeper (2+1),2024-07-17 22:05:00,08h 30m,06:35,3.8,850.0,17"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Vandana Travels,A/C Seater / Sleeper (2+1),2024-07-17 22:50:00,07h 10m,06:00,3.7,1300.0,1"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Vandana Travels,A/C Seater / Sleeper (2+1),2024-07-17 23:49:00,06h 56m,06:45,3.7,750.0,15"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Jagan Travels,A/C Sleeper (2+1),2024-07-17 22:45:00,07h 40m,06:25,4.5,850.0,11"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,SAT (Sri Anjaneya Travels),A/C Sleeper (2+1),2024-07-17 22:30:00,07h 40m,06:10,4.1,855.0,17"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),2024-07-17 23:00:00,08h 05m,07:05,3.0,700.0,16"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),2024-07-17 23:40:00,07h 10m,06:50,3.9,900.0,7"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Maheswari Travels,A/C Sleeper (2+1),2024-07-17 21:00:00,08h 46m,05:46,4.5,699.0,16"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Orange Tours And Travels,A/C Sleeper (2+1),2024-07-17 23:30:00,07h 50m,07:20,3.7,900.0,19"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Meghana Travels,A/C Sleeper (2+1),2024-07-17 23:00:00,07h 30m,06:30,3.1,807.0,3"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Vikram Travels,A/C Sleeper (2+1),2024-07-17 23:30:00,07h 30m,07:00,4.3,799.0,16"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,VRCR Travels,A/C Seater / Sleeper (2+1),2024-07-17 23:10:00,06h 55m,06:05,3.8,759.0,24"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Murali Krishna Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 22:05:00,07h 45m,05:50,2.9,600.0,10"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Karthik Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 23:30:00,06h 30m,06:00,2.7,600.0,18"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Moksha Travels,A/C Sleeper (2+1),2024-07-17 00:50:00,06h 25m,07:15,3.6,900.0,11"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Srivastav Travels,Bharat Benz A/C Sleeper (2+1),2024-07-17 23:45:00,07h 10m,06:55,2.8,829.0,9"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 2474,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 16:30:00,11h 10m,03:40,2.5,824.0,22"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 2855,LAHARI A/C SLEEPER CUM SEATER,2024-07-17 16:45:00,14h 55m,07:40,3.1,1053.0,11"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 1759,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 16:45:00,13h 05m,05:50,4.1,824.0,20"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 7649,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 17:00:00,12h 40m,05:40,3.7,824.0,24"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 2014,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 17:05:00,13h 20m,06:25,4.0,824.0,25"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 2765,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 17:15:00,13h 15m,06:30,4.7,867.0,5"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 1453,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 17:30:00,11h 00m,04:30,3.6,824.0,20"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 8261,RAJDHANI (A.C. Semi Sleeper),2024-07-17 17:45:00,11h 00m,04:45,3.8,998.0,28"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 7694,LAHARI A/C SLEEPER CUM SEATER,2024-07-17 17:50:00,13h 10m,07:00,3.8,1008.0,28"
